file	version__name	bytes	sha256_16
071__20260816173237__a1_1_fix_create_work_order_rpc_and_job_uniqueness.sql	20260816173237__a1_1_fix_create_work_order_rpc_and_job_uniqueness	2129	661b98b78997f995
072__20260817145037__cp3_step0_backups_20260817.sql	20260817145037__cp3_step0_backups_20260817	784	ada5f4ee7909d597
073__20260817145525__wh_product_families_variations.sql	20260817145525__wh_product_families_variations	17575	13a82f71b3ae0784
074__20260817150037__wh_product_photos_bucket_role_gating.sql	20260817150037__wh_product_photos_bucket_role_gating	1636	ec69c9df591a00bc
075__20260817150240__wh_product_photos_preserve_spec_upload.sql	20260817150240__wh_product_photos_preserve_spec_upload	1276	0e922849844b2d96
076__20260817151709__a1_2_creation_rpc_split_job_and_trade.sql	20260817151709__a1_2_creation_rpc_split_job_and_trade	12340	d2df5229909829d9
077__20260818231723__cp3_tuesday_step0_backups_20260818.sql	20260818231723__cp3_tuesday_step0_backups_20260818	973	cccab38a9ee560aa
078__20260818231832__wh_price_history.sql	20260818231832__wh_price_history	4819	55ad8e4c6741ae34
079__20260818232038__wh_product_types.sql	20260818232038__wh_product_types	6575	d77fd69a73a97049
080__20260818232146__wh_product_roles.sql	20260818232146__wh_product_roles	3907	313ef6529d7b73f0
081__20260818232222__wh_variation_colors.sql	20260818232222__wh_variation_colors	3139	8278c90ba8035671
082__20260819002237__a1_3b_child_rpc_repoint_trade_and_master.sql	20260819002237__a1_3b_child_rpc_repoint_trade_and_master	13423	3d8711f462a271c5
083__20260819232606__cp3_wednesday_step0_backups_20260819.sql	20260819232606__cp3_wednesday_step0_backups_20260819	1219	fc45864769bd6f5b
084__20260819232811__wh_catalog_editor_dual_write_rpc.sql	20260819232811__wh_catalog_editor_dual_write_rpc	13578	51e5300006ce98cb
085__20260819233735__a1_4_hierarchy_lifecycle_and_inherit_level_enforcement.sql	20260819233735__a1_4_hierarchy_lifecycle_and_inherit_level_enforcement	35969	0f5ad2a06616e221
086__20260820003958__tg_agenda_bot_schema.sql	20260820003958__tg_agenda_bot_schema	3918	38ee3f3a4f5eaa2c
087__20260820004929__tg_agenda_bot_assets_bucket.sql	20260820004929__tg_agenda_bot_assets_bucket	832	4f573ebaf58dc71d
088__20260820010229__tmp_enable_http_for_verification.sql	20260820010229__tmp_enable_http_for_verification	201	fb4d3c695d56bc71
089__20260820010953__tg_agenda_cleanup_unused_assets.sql	20260820010953__tg_agenda_cleanup_unused_assets	424	8472ef6072251219
090__20260820012550__tg_agenda_per_user_sessions_and_group_optin.sql	20260820012550__tg_agenda_per_user_sessions_and_group_optin	1609	c13e7b3df6437e63
091__20260820013518__tmp_enable_http_verify_v3.sql	20260820013518__tmp_enable_http_verify_v3	60	d964335162bb87cd
092__20260820013529__tmp_drop_http_after_verify.sql	20260820013529__tmp_drop_http_after_verify	31	3e04b5744a85b792
093__20260820020138__tmp_http_for_bot_diagnosis.sql	20260820020138__tmp_http_for_bot_diagnosis	60	d964335162bb87cd
094__20260820021626__bmr_field_ticket_schema.sql	20260820021626__bmr_field_ticket_schema	5501	1a985e5d3f3e08f1
095__20260820033312__bmr_tickets_schema_standalone.sql	20260820033312__bmr_tickets_schema_standalone	5560	a42e6d843805d6a6
096__20260820133834__a1_5_crew_visibility_rls_write_hole_and_anon_execute_sweep.sql	20260820133834__a1_5_crew_visibility_rls_write_hole_and_anon_execute_sweep	20577	81c840d272a0f7c0
097__20260820134145__cp3_thursday_backup_categories_20260820.sql	20260820134145__cp3_thursday_backup_categories_20260820	394	631b7a69839ab680
098__20260820134214__wh_categories_image_url_backfill.sql	20260820134214__wh_categories_image_url_backfill	984	2ba8c10c87f5a0df
099__20260820134701__cp3_thursday_backup_systems_20260820.sql	20260820134701__cp3_thursday_backup_systems_20260820	269	5699c19c7a61b8d0
100__20260820134724__wh_systems_hero_image_rehost.sql	20260820134724__wh_systems_hero_image_rehost	684	09c131a43a6a3df0
101__20260820140842__revoke_extensions_schema_usage_from_anon_and_authenticated.sql	20260820140842__revoke_extensions_schema_usage_from_anon_and_authenticated	3864	7e294ac250aff164
102__20260820142421__wh_systems_stages_anon_read_p0_fix.sql	20260820142421__wh_systems_stages_anon_read_p0_fix	2560	1e41df69b85ccafc
103__20260821004838__wh_category_products_colors_narrow_all_policies.sql	20260821004838__wh_category_products_colors_narrow_all_policies	3525	818b1889f74f24b8
104__20260821140030__bmr_tickets_standalone_jobs_and_scope.sql	20260821140030__bmr_tickets_standalone_jobs_and_scope	1919	be02c2c97087f7c7
105__20260821141857__bmr_tickets_migrate_off_public_and_drop_legacy.sql	20260821141857__bmr_tickets_migrate_off_public_and_drop_legacy	1458	6114e41a5dd5e29d
106__20260821180323__drop_bmr_tickets_schema.sql	20260821180323__drop_bmr_tickets_schema	278	6b50ee3f528e907d
107__20260822215146__wh_team_members_narrow_forall_and_scope_read.sql	20260822215146__wh_team_members_narrow_forall_and_scope_read	3139	79a05b1b3bc65a8c
